# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono0a/23.mdl - |" "ark:gunzip -c exp/mono0a/fsts.6.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split32/6/utt2spk scp:data/train/split32/6/cmvn.scp scp:data/train/split32/6/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono0a/ali.6.gz" 
# Started at Sun Dec  1 21:58:38 CST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono0a/23.mdl - |' 'ark:gunzip -c exp/mono0a/fsts.6.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split32/6/utt2spk scp:data/train/split32/6/cmvn.scp scp:data/train/split32/6/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono0a/ali.6.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono0a/23.mdl - 
LOG (gmm-boost-silence[5.5.166~1-013489]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.166~1-013489]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split32/6/utt2spk scp:data/train/split32/6/cmvn.scp scp:data/train/split32/6/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_1171889A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_126A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_1577391A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_161O567A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_19A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_1A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_1B
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_25283A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_2829A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_2A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_2B
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_2O9O987A
WARNING (gmm-align-compiled[5.5.166~1-013489]:AlignUtteranceWrapper():decoder-wrappers.cc:501) Retrying utterance CR_2O9O987A with beam 40
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_2Z61858A
WARNING (gmm-align-compiled[5.5.166~1-013489]:AlignUtteranceWrapper():decoder-wrappers.cc:501) Retrying utterance CR_2Z61858A with beam 40
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_2Z7A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_32A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_35Z29A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_38A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_39A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_3A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_3B
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_3OO43A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_45OO2A
WARNING (gmm-align-compiled[5.5.166~1-013489]:AlignUtteranceWrapper():decoder-wrappers.cc:501) Retrying utterance CR_45OO2A with beam 40
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_486OA
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_49O69A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_4A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_4B
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_4OOA
WARNING (gmm-align-compiled[5.5.166~1-013489]:AlignUtteranceWrapper():decoder-wrappers.cc:501) Retrying utterance CR_4OOA with beam 40
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_4Z3363ZA
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_513A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_534A
LOG (gmm-align-compiled[5.5.166~1-013489]:main():gmm-align-compiled.cc:127) CR_54923A
